ENGLISH;FRENCH;GERMAN;ITALIAN;PORTUGUESE;SPANISH;CATEGORY
ANTI-AGING MEDICINE;MÉDECINE ANTI-ÂGE;ANTI-AGING MEDIZIN;MEDICINA ANTI-AGING;MEDICINA ANTI-ENVELHECIMENTO;MEDICINA ANTIENVEJECIMIENTO;SPECIALITY_FIELD
BLOOD;SANG;BLUT;SANGUE;SANGUE;SANGRE;SPECIALITY_FIELD
BONE AND JOINT SURGERY;CHIRURGIE DES OS ET MIXTE;KNOCHEN-UND GELENKCHIRURGIE;OSSO E CHIRURGIA COMUNE;ÓSSEA E CIRURGIA CONJUNTA;HUESO Y CIRUGÍA ARTICULAR;SPECIALITY_FIELD
CANCEROLOGY;CANCEROLOGIE;KREBSFORSCHUNG;CANCEROLOGIA;CANCEROLOGIA;CANCEROLOGÍA;SPECIALITY_FIELD
CARDIAC SURGERY;CHIRURGIE CARDIAQUE;HERZCHIRURGIE;CHIRURGIA CARDIACA;CIRURGIA CARDÍACA;CIRUGÍA CARDÍACA;SPECIALITY_FIELD
CARDIOLOGY;CARDIOLOGIE;KARDIOLOGIE;CARDIOLOGIA;CARDIOLOGIA;CARDIOLOGÍA;SPECIALITY_FIELD
CHILD PSYCHIATRY;PSYCHIATRIE DE L'ENFANT;KINDERPSYCHIATRIE;BAMBINO PSYCHIATR;PSIQUIATRIA INFANTIL;PSIQUIATRÍA INFANTIL;SPECIALITY_FIELD
CLINICAL BIOLOGY;BIOLOGIE CLINIQUE;KLINISCHE BIOLOGIE;BIOLOGIA CLINICA;BIOLOGIA CLÍNICA;BIOLOGÍA CLÍNICA;SPECIALITY_FIELD
CLINICAL GENETICS;GÉNÉTIQUE CLINIQUE;KLINISCHE GENETIK;GENETICA CLINICA;GENÉTICA CLÍNICA;GENÉTICA CLÍNICA;SPECIALITY_FIELD
CLINICAL IMMUNOLOGY AND ALLERGY;IMMUNOLOGIE CLINIQUE ET D'ALLERGIE;KLINISCHE IMMUNOLOGIE UND ALLERGIE;IMMUNOLOGIA CLINICA E ALLERGIA;IMUNOLOGIA CLÍNICA E ALERGIA;INMUNOLOGÍA CLÍNICA Y ALERGIA;SPECIALITY_FIELD
DERMATOLOGY VENEREOLOGY;DERMATOLOGIE VENEREOLOGIE;DERMATOLOGIE VENEROLOGIE;DERMATOLOGIA VENEREOLOGIA;DERMATOLOGIA VENEREOLOGIA;VENEREOLOGÍA DERMATOLOGÍA;SPECIALITY_FIELD
DERMATOLOGY;DERMATOLOGIE;DERMATOLOGIE;DERMATOLOGIA;DERMATOLOGIA;DERMATOLOGÍA;SPECIALITY_FIELD
DIAGNOSTIC RADIOLOGY AND MEDICAL IMAGING;RADIODIAGNOSTIC ET IMAGERIE MÉDICALE;DIAGNOSTISCHE RADIOLOGIE UND MEDIZINISCHE BILDGEBUNG;RADIOLOGIA DIAGNOSTICA E IMAGING MEDICO;RADIODIAGNÓSTICO E DE IMAGENS MÉDICAS;RADIOLOGÍA DE DIAGNÓSTICO Y TRATAMIENTO DE IMÁGENES MÉDICAS;SPECIALITY_FIELD
DIAGNOSTIC RADIOLOGY;RADIOLOGIE DIAGNOSTIQUE;DIAGNOSTISCHE RADIOLOGIE;RADIOLOGIA DIAGNOSTICA;RADIOLOGIA DIAGNÓSTICA;RADIOLOGÍA DIAGNÓSTICA;SPECIALITY_FIELD
DIAGNOSTIC;DIAGNOSTIC;DIAGNOSE;DIAGNOSTICA;DIAGNÓSTICO;DIAGNÓSTICO;SPECIALITY_FIELD
DIGESTIVE SURGERY;CHIRURGIE DIGESTIVE;VISZERALCHIRURGIE;CHIRURGIA DIGESTIVA;DIGESTIVO CIRURGIA;CIRUGÍA DIGESTIVA;SPECIALITY_FIELD
DISEASE TRAVELER;MALADIE VOYAGEUR;KRANKHEIT TRAVELER;MALATTIA TRAVELER;VIAJANTE DOENÇA;VIAJERO ENFERMEDAD;SPECIALITY_FIELD
DOPPLER MEDICINE;DOPPLER MÉDECINE;DOPPLER MEDIZIN;DOPPLER MEDICINA;MEDICINA DOPPLER;MEDICINA DOPPLER;SPECIALITY_FIELD
EXPERTISE MEDICINE AND EVALUATION OF INJURY;EXPERTISE MEDICINE AND EVALUATION OF INJURY;KOMPETENZ MEDIZIN UND BEWERTUNG DER SCHADEN;COMPETENZA MEDICINA E VALUTAZIONE DEL PREGIUDIZIO;MEDICINA EXPERIÊNCIA E AVALIAÇÃO DE LESÕES;MEDICINA CONOCIMIENTOS Y LA EVALUACIÓN DE LA LESIÓN;SPECIALITY_FIELD
EAR NOSE AND THROAT;NEZ DE L'OREILLE ET DE LA GORGE;HALS-NASEN-UND RACHEN;ORECCHIO NASO E DELLA GOLA;OUVIDO, NARIZ E GARGANTA;OÍDO, NARIZ Y GARGANTA;SPECIALITY_FIELD
ELECTROCARDIOGRAPHY;ÉLECTROCARDIOGRAPHIE;ELEKTROKARDIOGRAPHIE;ÉLECTROCARDIOGRAPHIE;ELETROCARDIOGRAFIA;ELECTROCARDIOGRAFÍA;SPECIALITY_FIELD
EMERGENCY MEDICINE;MÉDECINE D'URGENCE;NOTFALLMEDIZIN;MEDICINA DI EMERGENZA;MEDICINA DE EMERGÊNCIA;MEDICINA DE EMERGENCIA;SPECIALITY_FIELD
EMERGENCY;URGENCE;NOTLAGE;EMERGENZA;EMERGÊNCIA;EMERGENCIA;SPECIALITY_FIELD
ENDOCRINOLOGY;ENDOCRINOLOGIE;ENDOKRINOLOGIE;ENDOCRINOLOGIA;ENDOCRINOLOGIA;ENDOCRINOLOGÍA;SPECIALITY_FIELD
ERGONOMICS;ERGONOMIE;ERGONOMIE;ERGONOMIA;ERGONOMIA;ERGONOMÍA;SPECIALITY_FIELD
FAMILIALE1 MEDICINE;FAMILIAL 1 MÉDECINE;FAMILIAL 1 MEDIZIN;MEDICINA FAMILIALE1;MEDICINA FAMILIALE1;MEDICINA FAMILIALE1;SPECIALITY_FIELD
FETAL MEDICINE;MÉDECINE FŒTALE;FETAL MEDICINE;MEDICINA FETALE;MEDICINA FETAL;MEDICINA FETAL;SPECIALITY_FIELD
FORENSIC;LÉGALE;FORENSIC;FORENSE;FORENSE;FORENSE;SPECIALITY_FIELD
GASTROENTEROLOGY;GASTROENTÉROLOGIE;GASTROENTEROLOGIE;GASTROENTEROLOGIA;GASTROENTEROLOGIA;GASTROENTEROLOGÍA;SPECIALITY_FIELD
GENERAL MEDICINE;MEDECINE GENERALE;ALLGEMEINE MEDIZIN;MEDICINA GENERALE;MEDICINA GERAL;MEDICINA GENERAL;SPECIALITY_FIELD
GERIATRICS;GÉRIATRIE;GERIATRIE;GERIATRIA;GERIATRIA;GERIATRÍA;SPECIALITY_FIELD
GYNECOLOGY AND OBST;GYNÉCOLOGIE ET OBSTACLE;GYNÄKOLOGIE UND OBST;GINECOLOGIA E OBST;GINECOLOGIA E OBST;GINECOLOGÍA Y OBST;SPECIALITY_FIELD
GYNECOLOGY;GYNECOLOGIE;GYNECOLOGY;GINECOLOGIA;GINECOLOGIA;GINECOLOGÍA;SPECIALITY_FIELD
HEAD AND NECK;TÊTE ET DU COU;KOPF UND HALS;TESTA E DEL COLLO;CABEÇA E PESCOÇO;CABEZA Y CUELLO;SPECIALITY_FIELD
HEALTH;SANTÉ;GESUNDHEIT;HEALTH;SAÚDE;SALUD;SPECIALITY_FIELD
HEMATOLOGY;HÉMATOLOGIE;HÄMATOLOGIE;EMATOLOGIA;HEMATOLOGIA;HEMATOLOGÍA;SPECIALITY_FIELD
HEPATOLOGY;HÉPATOLOGIE;HEPATOLOGIE;EPATOLOGIA;HEPATOLOGIA;HEPATOLOGÍA;SPECIALITY_FIELD
HEPATO_GASTROENTEROLOGY;HÉPATOGASTROENTÉROLOGIE;HEPATOGASTROENTEROLOGIE;HEPATOGASTROENTEROLOGY;HEPATOGASTROENTEROLOGY;HEPATOGASTROENTEROLOGÍA;SPECIALITY_FIELD
HYGIENE;HYGIÈNE;HYGIENE;IGIENE;HIGIENE;HIGIENE;SPECIALITY_FIELD
HYPERBARIC MEDECINE;MÉDECINE HYPERBARE;HYPERBARE MEDECINE;MEDICINA IPERBARICA;MEDICINA HIPERBÁRICA;MEDICINA HIPERBÁRICA;SPECIALITY_FIELD
IMMUNE SYSTEM;SYSTÈME IMMUNITAIRE;IMMUNSYSTEM;SISTEMA IMMUNITARIO;SISTEMA IMUNITÁRIO;SISTEMA INMUNE;SPECIALITY_FIELD
IMMUNOLOGY;IMMUNOLOGIE;IMMUNOLOGY;IMMUNOLOGIA;IMUNOLOGIA;INMUNOLOGÍA;SPECIALITY_FIELD
INFECTIOUS DISEASE;MALADIES INFECTIEUSES;INFECTIOUS DISEASE;MALATTIA INFETTIVA;DOENÇAS INFECCIOSAS;ENFERMEDAD INFECCIOSA;SPECIALITY_FIELD
INTERNAL MEDICINE;MÉDECINE INTERNE;INNERE MEDIZIN;MEDICINA INTERNA;MEDICINA INTERNA;MEDICINA INTERNA;SPECIALITY_FIELD
LIVER;FOIE;LEBER;FEGATO;FÍGADO;HÍGADO;SPECIALITY_FIELD
MANAGEMENT OF HEALTH DATA;GESTION DE DONNÉES DE SANTÉ;MANAGEMENT VON GESUNDHEITSDATEN;GESTIONE DEI DATI SANITARI;GESTÃO DE DADOS DE SAÚDE;GESTIÓN DE LOS DATOS DE SALUD;SPECIALITY_FIELD
MEDICAL BIOLOGY;BIOLOGIE MÉDICALE;MEDIZINISCHE BIOLOGIE;BIOCHIMICA MEDICA;ANÁLISES CLÍNICAS;BIOLOGÍA MÉDICA;SPECIALITY_FIELD
MEDICAL BOCHIMIE;BIOCHIMIE MÉDICALE;MEDIZINISCHE BIOCHIMIE;BOCHIMIE MEDICO;BOCHIMIE MÉDICA;BOCHIMIE MÉDICA;SPECIALITY_FIELD
MEDICAL GENETICS;GÉNÉTIQUE MÉDICALE;MEDIZINISCHE GENETIK;GENETICA MEDICA;GENÉTICA MÉDICA;GENÉTICA MÉDICA;SPECIALITY_FIELD
MEDICAL MICROBIOLOGY;MICROBIOLOGIE MÉDICALE;MEDIZINISCHE MIKROBIOLOGIE;MEDICAL MICROBIOLOGY;MICROBIOLOGIA MÉDICA;MICROBIOLOGÍA MÉDICA;SPECIALITY_FIELD
METABOLISM;METABOLISME;STOFFWECHSEL;METABOLISMO;METABOLISMO;METABOLISMO;SPECIALITY_FIELD
MOLECULAR BIOLOGY;BIOLOGIE MOLECULAIRE;MOLEKULARBIOLOGIE;BIOLOGIA MOLECOLARE;BIOLOGIA MOLECULAR;BIOLOGÍA MOLECULAR;SPECIALITY_FIELD
NEPHROLOGY;NÉPHROLOGIE;NEPHROLOGIE;NEFROLOGIA;NEFROLOGIA;NEFROLOGÍA;SPECIALITY_FIELD
NERVOUS SYSTEM;SYSTEME NERVEUX;NERVENSYSTEM;SISTEMA NERVOSO;SISTEMA NERVOSO;SISTEMA NERVIOSO;SPECIALITY_FIELD
NEUROLOGY;NEUROLOGIE;NEUROLOGIE;NEUROLOGIA;NEUROLOGIA;NEUROLOGÍA;SPECIALITY_FIELD
NUTRITION;NUTRITION;ERNÄHRUNG;NUTRIZIONE;NUTRIÇÃO;NUTRICIÓN;SPECIALITY_FIELD
NUCLEAR MEDICINE;MÉDECINE NUCLÉAIRE;NUKLEARMEDIZIN;MEDICINA NUCLEARE;MEDICINA NUCLEAR;MEDICINA NUCLEAR;SPECIALITY_FIELD
OBSTETRICS;OBSTETRIQUE;GEBURTSHILFE;OSTETRICIA;OBSTETRÍCIA;OBSTETRICIA;SPECIALITY_FIELD
OCCUPATION MEDICINE IN BELGIUM;MÉDECINE DU TRAVAIL EN BELGIQUE;BERUF MEDIZIN IN BELGIEN;OCCUPAZIONE MEDICINA IN BELGIO;MEDICINA OCUPAÇÃO NA BÉLGICA;MEDICINA OCUPACIÓN EN BÉLGICA;SPECIALITY_FIELD
OCCUPATIONAL MEDECINE;MEDECINE DE TRAVAIL;ARBEITSMEDIZIN;MEDICINA DEL LAVORO;MEDICINA OCUPACIONAL;MEDICINA OCUPACIONAL;SPECIALITY_FIELD
ODONTOLOGY;ODONTOLOGIE;ZAHNHEILKUNDE;ODONTOIATRIA;ODONTOLOGIA;ODONTOLOGÍA;SPECIALITY_FIELD
ONCOLOGY;ONCOLOGIE;ONKOLOGIE;ONCOLOGIA;ONCOLOGIA;ONCOLOGÍA;SPECIALITY_FIELD
ORTHODONTICS;ORTHODONTIE;ORTHODONTICS;ORTODONZIA;ORTODONTIA;ORTODONCIA;SPECIALITY_FIELD
PARASITOLOGY AND MYCOLOGY;PARASITOLOGIE ET MYCOLOGIE;PARASITOLOGIE UND MYKOLOGIE;PARASSITOLOGIA E MICOLOGIA;PARASITOLOGIA E MICOLOGIA;PARASITOLOGÍA Y MICOLOGÍA;SPECIALITY_FIELD
PATHOLOGY;PATHOLOGIE;PATHOLOGIE;PATOLOGIA;PATOLOGIA;PATOLOGÍA;SPECIALITY_FIELD
PEDIATRICS;PEDIATRIE;PÄDIATRIE;PEDIATRIA;PEDIATRIA;PEDIATRÍA;SPECIALITY_FIELD
PHYSICAL MEDICINE AND REHABILITATION;MÉDECINE PHYSIQUE ET RÉADAPTATION;PHYSIKALISCHE MEDIZIN UND REHABILITATION;MEDICINA FISICA E RIABILITAZIONE;MEDICINA FÍSICA E REABILITAÇÃO;MEDICINA FÍSICA Y REHABILITACIÓN;SPECIALITY_FIELD
PLASTIC SURGERY;CHIRURGIE ESTHÉTIQUE;PLASTISCHE;CHIRURGIA PLASTICA;CIRURGIA PLÁSTICA;CIRUGÍA PLÁSTICA;SPECIALITY_FIELD
PNEUMONOLOGY;PNEUMOLOGIE;PNEUMOLOGIE;PNEUMONOLOGY;PNEUMOLOGIA;NEUMOLOGÍA;SPECIALITY_FIELD
PREVENTION;PRÉVENTION;PRÄVENTION;PREVENZIONE;PREVENÇÃO;PREVENCIÓN;SPECIALITY_FIELD
PREVENTIVE MEDICINE;MEDECINE PREVENTIVE;PREVENTIVE MEDIZIN;MEDICINA PREVENTIVA;MEDICINA PREVENTIVA;MEDICINA PREVENTIVA;SPECIALITY_FIELD
PSYCHIATRIE;PSYCHIATRIE;PSYCHIATRIE;PSYCHIATRIE;PSYCHIATRIE;PSYCHIATRIE;SPECIALITY_FIELD
PUBLIC HEALTH AND PREVENTIVE MEDICINE;SANTÉ PUBLIQUE ET MEDECINE PREVENTIVE;GESUNDHEIT-UND PRÄVENTIVMEDIZIN;SALUTE PUBBLICA E MEDICINA PREVENTIVA;SAÚDE PÚBLICA E MEDICINA PREVENTIVA;SALUD PÚBLICA Y MEDICINA PREVENTIVA;SPECIALITY_FIELD
PUBLIC HEALTH;SANTÉ PUBLIQUE;ÖFFENTLICHES GESUNDHEITSWESEN;SALUTE PUBBLICA;SAÚDE PÚBLICA;SALUD PÚBLICA;SPECIALITY_FIELD
RADIOLOGY;RADIOLOGIE;RADIOLOGY;RADIOLOGIA;RADIOLOGIA;RADIOLOGÍA;SPECIALITY_FIELD
RADIOTHERAPY;RADIOTHÉRAPIE;RADIOTHERAPIE;RADIOTERAPIA;RADIOTERAPIA;RADIOTERAPIA;SPECIALITY_FIELD
RECONSTRUCTIVE SURGERY;CHIRURGIE RECONSTRUCTRICE;RECONSTRUCTIVE SURGERY;CHIRURGIA RICOSTRUTTIVA;CIRURGIA RECONSTRUTIVA;CIRUGÍA RECONSTRUCTIVA;SPECIALITY_FIELD
RESPIRATORY DISEASES;MALADIE RESPIRATOIRE;ATEM KRANKHEITEN;MALATTIE RESPIRATORIE;DOENÇAS RESPIRATÓRIAS;ENFERMEDADES RESPIRATORIAS;SPECIALITY_FIELD
RESUSCITATION;RESUSCITATION;RESUSCITATION;RIANIMAZIONE;RESSUSCITAÇÃO;RESUCITACIÓN;SPECIALITY_FIELD
SCAN;SCAN;SCAN;SCAN;VARREDURA;TOMOGRAFÍA;SPECIALITY_FIELD
SCREENNING;DÉPISTAGE;SCREENNING;SCREENNING;RASTREADA;PROYECCIÓN;SPECIALITY_FIELD
SEDATION;SÉDATION;SEDIERUNG;SEDAZIONE;SEDAÇÃO;SEDACIÓN;SPECIALITY_FIELD
SKIN;PEAU;HAUT;PELLE;PELE;PIEL;SPECIALITY_FIELD
SMOKING;FUMEURS;RAUCHEN;FUMO;FUMADOR;DE FUMAR;SPECIALITY_FIELD
SPECIALTIES PEDIATRIQUES;SPÉCIALITÉS PÉDIATRIQUES;SPECIALTIES PEDIATRIQUES;SPECIALTIES PEDIATRIQUES;ESPECIALIDADES PEDIATRIQUES;ESPECIALIDADES PEDIATRIQUES;SPECIALITY_FIELD
SPORT;SPORT;SPORT;SPORT;ESPORTE;DEPORTE;SPECIALITY_FIELD
SURGEONS;CHIRURGIENS;CHIRURGEN;CHIRURGHI;CIRURGIÕES;CIRUJANOS;SPECIALITY_FIELD
SURGERY;CHIRURGIE;CHIRURGIE;CHIRURGIA;CIRURGIA;CIRUGÍA;SPECIALITY_FIELD
SURGICAL SPECIALTIES;SPÉCIALITÉS CHIRURGICALES;CHIRURGISCHE FACHGEBIETE;SPECIALITÀ CHIRURGICHE;ESPECIALIDADES CIRÚRGICAS;ESPECIALIDADES QUIRÚRGICAS;SPECIALITY_FIELD
THERAPEUTIC;THERAPEUTIQUE;HEIL;TERAPEUTICO;TERAPÊUTICO;TERAPÉUTICO;SPECIALITY_FIELD
TOOTH;DENT;ZAHN;DENTE;DENTE;DIENTE;SPECIALITY_FIELD
TOXICOLOGY;TOXICOLOGIE;TOXICOLOGY;TOSSICOLOGIA;TOXICOLOGIA;TOXICOLOGÍA;SPECIALITY_FIELD
ULB;ULB;ULB;ULB;ULB;ULB;SPECIALITY_FIELD
VASCULAR SURGERY;CHIRURGIE VASCULAIRE;GEFÄßCHIRURGIE;CHIRURGIA VASCOLARE;CIRURGIA VASCULAR;CIRUGÍA VASCULAR;SPECIALITY_FIELD
VIRAL HEPATITIS;HÉPATITE VIRALE;VIRUSHEPATITIS;EPATITE VIRALE;HEPATITES VIRAIS;LA HEPATITIS VIRAL;SPECIALITY_FIELD
NEUROSURGERY;NEUROCHIRURGIE;NEURO;NEUROCHIRURGIA;NEUROCIRURGIA;NEUROCIRUGÍA;SPECIALITY_FIELD
