NAME;CATEGORY
ALLIVET;PHARMACY
ALLSTAR COMPOUNDING PHARMACY;PHARMACY
ALMA PHARMACY;PHARMACY
ALMATHA CLARK TAYLOR SCHOOL;PHARMACY
ALPHA CARE PHARMACY;PHARMACY
ALPHA INFUSION MANAGEMENT;PHARMACY
ALPHA PHARMACY;PHARMACY
ALTERNATIVE MEDICINE AND;PHARMACY
ALTUS BAYTOWN L P;PHARMACY
ALVARADO PHARMACY;PHARMACY
ALVIN CARE PHARMACY;PHARMACY
AMARILLO CATARACT  EYE;PHARMACY
AMARILLO DIAGNOSTIC CLINIC IV;PHARMACY
AMARILLO DIAGNOSTIC CLINIC RX;PHARMACY
AMARILLO ENDOSCOPY CENTER;PHARMACY
AMARILLO ENDOSCOPY SPECIALISTS;PHARMACY
AMARILLO INFECTIOUS DISEASE;PHARMACY
AMARILLO PHARMACEUTICAL CARE;PHARMACY
AMAZING GRACE PHARMACY;PHARMACY
AMBER JAR PHARMACY;PHARMACY
AMBER PHARMACY;PHARMACY
AMBULATORY ENDOSCOPY CLINIC;PHARMACY
AMELIA COURT CLINIC BLDG PHCY;PHARMACY
AMERICAN CUSTOM COMPOUNDING PHARMACY;PHARMACY
AMERICAN HOME PHARMACY;PHARMACY
AMERICAN HOMECARE FEDERATION;PHARMACY
AMERICAN HOMEPATIENT PHARMACY;PHARMACY
AMERICAN MEDICAL DIRECT;PHARMACY
AMERICAN OUTCOMES MANAGEMENT LP;PHARMACY
AMERICAN OUTCOMES MANAGEMENT;PHARMACY
AMERICAN PHARMACEUTICAL SVCS;PHARMACY
AMERICAN SERVICE AND PRODUCT INC;PHARMACY
AMERICAN SPECIALTY PHARMACY;PHARMACY
AMERICAN STAR PHARMACY;PHARMACY
AMERICAN SURGERY CENTER OF;PHARMACY
AMERITA INC;PHARMACY
AMERITA;PHARMACY
AMEX COMPOUNDING PHARMACY;PHARMACY
AMEX PHARMACY ;PHARMACY
AMEX PHARMACY NO ;PHARMACY
AMIGO PHARMACY;PHARMACY
AMIGOS UNITED PHARMACY;PHARMACY
ANAZAOHEALTH CORPORATION;PHARMACY
ANCHOR PHARMACY;PHARMACY
ANDERSON DRUG;PHARMACY
ANDREWS COUNTY HEALTH DEPT;PHARMACY
ANDYS PHARMACY;PHARMACY
ANGELINA COUNTY  CITIES;PHARMACY
ANGLETON DANBURY MEDICAL CTR;PHARMACY
ANGLETON HEALTH MART PHARMACY;PHARMACY
ANIMAL RX PHARMACY;PHARMACY
ANNIES APOTHECARY;PHARMACY
ANSON GENERAL HOSPITAL;PHARMACY
ANSON PLAZA PHARMACY;PHARMACY
ANTOINE HEALTH CLINIC;PHARMACY
APAC CUSTOMER SERVICES INC;PHARMACY
APEX SPECIALTY PHARMACY;PHARMACY
APOTEK PHARMACY;PHARMACY
APOTHECA COMPOUNDING PHARMACY;PHARMACY
APOTHECARY OF MED. ASSOCIATES;PHARMACY
APOTHECARY SHOP;PHARMACY
APPLE DRUGS ;PHARMACY
APPLE PHARMACY;PHARMACY
APRIA PHARMACY NETWORK;PHARMACY
APS PHARMACY;PHARMACY
ARAPAHO PROFESSIONAL PHCY ;PHARMACY
ARAUJO DRUGSTORE;PHARMACY
ARCADIA PHARMACY SOLUTIONS;PHARMACY
ARLINGTON CANCER CENTER PHY;PHARMACY
ARLINGTON DAY SURGERY;PHARMACY
ARLINGTON INFECTIOUS;PHARMACY
ARLINGTON PHARMACY;PHARMACY
ARMC-SURGERY CENTER;PHARMACY
ARROW PHARMACY  NUTRITION;PHARMACY
ARTS PHARMACY NORTH;PHARMACY
ARTS PHARMACY;PHARMACY
ARTEMIS PHARMACY LLC;PHARMACY
ASC-CENTER FOR CHANGE LLC;PHARMACY
ASCEND PHARMACEUTICALS;PHARMACY
ASL PHARMACY;PHARMACY
ASPIRE HOSPITAL LLC;PHARMACY
ASPIRE RX PHARMACY;PHARMACY
ASSURANCE CONSOLIDATED PHARMACY ;PHARMACY
ASTORIA PHARMACY;PHARMACY
ATASCOSA (RHI) HEALTH CLINIC;PHARMACY
ATKINS EXPRESS PHARMACY;PHARMACY
ATKINS PHARMACY SERVICES;PHARMACY
ATLANTIC PHARMACEUTICALS;PHARMACY
ATRIUM MEDICAL CENTER AT;PHARMACY
ATRIUM MEDICAL CENTER;PHARMACY
AUBREY PHARMACY;PHARMACY
AUSTIN COMPOUNDING PHARMACY;PHARMACY
AUSTIN DIAGNOSTIC CLINIC ASC;PHARMACY
AUSTIN EMERGENCY CENTER;PHARMACY
AUSTIN ENDOSCOPY CENTER II;PHARMACY
AUSTIN EYE LASER AND SURGICENTER;PHARMACY
AUSTIN INFECTIOUS DISEASE PHCY;PHARMACY
AUSTIN LAKES HOSPITAL;PHARMACY
AUSTIN MIDTOWN AMBULATORY SURGERY CENTER;PHARMACY
AUSTIN OAKS HOSPITAL;PHARMACY
AUSTIN PHARMACY;PHARMACY
AUSTIN STATE HOSPITAL PHARMACY;PHARMACY
AUSTIN STATE SUPPORTED LIVING;PHARMACY
AUSTIN SURGICAL HOSPITAL PHCY;PHARMACY
AUTREY PHARMACY ;PHARMACY
AVE MARIA PHARMACY PLLC;PHARMACY
AVELLA OF AUSTIN;PHARMACY
AVELLA OF CHANDLER;PHARMACY
AVELLA OF DEER VALLEY;PHARMACY
AVELLA OF SCOTTSDALE;PHARMACY
AVELLA OF ST. LOUIS;PHARMACY
AVITA DRUGS;PHARMACY
AVONDALE PHARMACY;PHARMACY
AXELACARE HEALTH SOLUTIONS;PHARMACY
AXTELL RITE-VALUE PHARMACY INC;PHARMACY
AZTECA PHARMACY;PHARMACY
B  B PHARMACY ;PHARMACY
B2TF PHARMACY;PHARMACY
BABCOCK SQUARE PHARMACY;PHARMACY
BAGGETT PHARMACY;PHARMACY
BAIJES BISSONNET PHARMACY;PHARMACY
BAILEY SQUARE SURGERY CENTER;PHARMACY
BALCH SPRINGS YFC PHARMACY;PHARMACY
BALLEM PHARMACY;PHARMACY
BALLINGER MEM. HOSP. DISTRICT;PHARMACY
BALTIMORE VAMC;PHARMACY
BAMMEL MED RX;PHARMACY
BANGS DRUG MART;PHARMACY
BANK PHARMACY I;PHARMACY
BAO CHAU PHARMACY;PHARMACY
BAPTIST EMERGENCY HOSPITAL;PHARMACY
BAPTIST HOSPITAL OF SE TEXAS;PHARMACY
BAPTIST HOSPITAL OF SOUTHEAST;PHARMACY
BAPTIST MEDICAL CENTER;PHARMACY
BAPTIST ORANGE HOSPITAL;PHARMACY
BAPTIST PHARMACY;PHARMACY
BAPTIST ST ANTHONYS HOSPICE;PHARMACY
BAPTIST ST ANTHONYS HOSPTIAL;PHARMACY
BARKER CYPRESS PHARMACY AND HOME CARE EQ;PHARMACY
BARKERS PHARMACY;PHARMACY
BARNES AND WILLIAMS DRUG CENTER ;PHARMACY
BARRIO COMPREHENSIVE FAMILY;PHARMACY
BASIC HOME INFUSION INC;PHARMACY
BASIN HEALTHCARE CENTER;PHARMACY
BASS RUTLEDGE DRUG;PHARMACY
BASSETT SURGERY CENTER;PHARMACY
BATTLE PHARMACY;PHARMACY
BAY AREA ENDOSCOPY CENTER LLC;PHARMACY
BAY AREA HOUSTON ENDOSCOPY CENTER;PHARMACY
BAY AREA INFECTIOUS DISEASE;PHARMACY
BAY AREA SURGICARE;PHARMACY
BAY COLONY PHARMACY;PHARMACY
BAY PHARMACY;PHARMACY
BAYLOR ALL SAINTS MEDICAL CNTR;PHARMACY
BAYLOR AMBULATORY ENDOSCOPY;PHARMACY
BAYLOR BEN TAUB TEEN HEALTH;PHARMACY
BAYLOR CAVALCADE TEEN HEALTH;PHARMACY
BAYLOR CESAR CHAVEZ TEEN;PHARMACY
BAYLOR COLLEGE OF MEDICINE;PHARMACY
BAYLOR COLLEGE OF MEDICINE-TEJANO CENTER;PHARMACY
BAYLOR COLLEGE OF MEDICINE-WORTHING HIGH;PHARMACY
BAYLOR CULLEN TEEN HEALTH;PHARMACY
BAYLOR EMERGENCY MEDICAL CENTER AT KELLE;PHARMACY
BAYLOR EMERGENCY MEDICAL CENTER;PHARMACY
BAYLOR INSTITUTE FOR;PHARMACY
BAYLOR JACK AND JANE HAMILTON;PHARMACY
BAYLOR LAWN TEEN HEALTH CLINIC;PHARMACY
BAYLOR LEE HIGH TEEN HEALTH;PHARMACY
BAYLOR LYNDON B JOHNSON;PHARMACY
BAYLOR MEDICAL CENTER @ IRVING;PHARMACY
BAYLOR MEDICAL CENTER AT MCKINNEY;PHARMACY
BAYLOR MEDICAL CENTER AT WAXAHACHIE;PHARMACY
BAYLOR MEDICAL CENTER AT;PHARMACY
BAYLOR MEDICAL CNTR AT FRISCO;PHARMACY
BAYLOR MEDICAL CTR GARLAND;PHARMACY
BAYLOR MEDICAL PLAZA PHARMACY AT GARLAND;PHARMACY
BAYLOR MEDICAL PLAZA PHARMACY AT GRAPEVI;PHARMACY
BAYLOR MEDICAL PLAZA PHARMACY AT IRVING;PHARMACY
BAYLOR MEDICAL PLAZA PHARMACY AT MCKINNE;PHARMACY
BAYLOR MEDICAL PLAZA PHARMACY;PHARMACY
BAYLOR MEDICAL PLAZA;PHARMACY
BAYLOR ORTHOPEDIC AND SPINE;PHARMACY
BAYLOR REGIONAL MEDICAL CENTER;PHARMACY
BAYLOR SPECIALTY HOSPITAL;PHARMACY
BAYLOR SURGICAL HOSPITAL AT;PHARMACY
BAYLOR SURGICARE AT ARLINGTON;PHARMACY
BAYLOR SURGICARE AT CARROLLTON;PHARMACY
BAYLOR SURGICARE AT DENTON;PHARMACY
BAYLOR SURGICARE AT ENNIS LLC;PHARMACY
BAYLOR SURGICARE AT FT WORTH I;PHARMACY
BAYLOR SURGICARE AT GARLAND;PHARMACY
BAYLOR SURGICARE AT GRANBURY;PHARMACY
BAYLOR SURGICARE AT GRAPEVINE;PHARMACY
BAYLOR SURGICARE AT MANSFIELD;PHARMACY
BAYLOR SURGICARE AT OAKMONT;PHARMACY
BAYLOR SURGICARE AT;PHARMACY
BAYLOR SURGICARE OF BEDFORD;PHARMACY
BAYLOR SURGICARE;PHARMACY
BAYLOR UNIV HEALTH CENTER PHCY;PHARMACY
BAYLOR UNIV. HOSPITAL PHARMACY;PHARMACY
BAYOS PHARMACY;PHARMACY
BAYSHORE MEDICAL CENTER;PHARMACY
BAYSHORE MEDICAL CENTER-EAST;PHARMACY
BAYSHORE PHARMACY;PHARMACY
BAYSIDE COMMUNITY HOSPITAL PHARMACY;PHARMACY
BAYTOWN CLINIC PHARMACY;PHARMACY
BAYTOWN HEALTH CLINIC;PHARMACY
BAYVIEW PHARMACY;PHARMACY
BC PHARMACY INC;PHARMACY
BCP VETERINARY PHARMACY;PHARMACY
BEACH STREET PHARMACY;PHARMACY
BEACHES PHARMACY;PHARMACY
BEAUMONT BONE  JOINT INSTITUT;PHARMACY
BEAUMONT CITY HEALTH DEPT;PHARMACY
BEAUMONT EMERGENCY CENTER;PHARMACY
BEAUMONT SURGICAL AFFILIATES;PHARMACY
BEAUTE_SANTE_HYGIENE_FRANCE;PHARMACY
BECO PHARMACY LLC;PHARMACY
BEECHNUT PROFESSIONAL PHARMACY;PHARMACY
BEHAVIORAL HOSPITAL OF;PHARMACY
BELL COUNTY HEALTH DEPARTMENT;PHARMACY
BELL COUNTY PUBLIC HEALTH;PHARMACY
BELLAIRE DISCOUNT PHARMACY;PHARMACY
BELLAIRE EMERGENCY CENTER;PHARMACY
BELLAIRE ER;PHARMACY
BELLAIRE PHARMACY;PHARMACY
BELLEVUE PHARMACY;PHARMACY
BELLS FAMILY DRUG;PHARMACY
BELLVILLE ST JOSEPH HEALTH CENTER;PHARMACY
BELMAR PHARMACY;PHARMACY
BELTWAY DISCOUNT PHARMACY;PHARMACY
BEMAJ PHARMACY;PHARMACY
BEN FRANKLIN APOTHECARY;PHARMACY
BEN TAUB GENERAL HOSPITAL PHARMACY;PHARMACY
BEN WHITE HEALTH CLINIC;PHARMACY
BENBROOK PHARMACY;PHARMACY
BERKS PHARMACY;PHARMACY
BERRY OAKS PHARMACY;PHARMACY
BERRY PROFESSIONAL PHARMACY;PHARMACY
BEST DISCOUNT PHARMACY;PHARMACY
BEST MED EAST;PHARMACY
BEST MED METROPLEX;PHARMACY
BEST MED PANHANDLE;PHARMACY
BEST MED SOUTH;PHARMACY
BEST RX PHARMACY;PHARMACY
BEST VALUE COUNTRY DAY PHCY;PHARMACY
BEST VALUE CUSTOM MEDS;PHARMACY
BEST VALUE DANS PHARMACY;PHARMACY
BEST VALUE HICO PHARMACY;PHARMACY
BEST VALUE HOMETOWN PHARMACY;PHARMACY
BEST VALUE MEDICAL CENTER;PHARMACY
BEST VALUE RENSHAW DRUG;PHARMACY
BEST VALUE RHOME PHARMACY;PHARMACY
BEST VALUE RIDGLEA DRUG;PHARMACY
BEST VALUE RONS PHARMACY;PHARMACY
BEST VALUE ROYCES PHARMACY;PHARMACY
BEST VALUE WADDY PHARMACY;PHARMACY
BEST VALUE WEST PHARMACY;PHARMACY
BESTCARE PHARMACY;PHARMACY
BETTER BALANCE PHARMACY INC;PHARMACY
BETTER LIVING MEDICAL EQUIPMNT;PHARMACY
BI-WIZE PHARMACY;PHARMACY
BIENVIVIR SENIOR HEALTH SVCS;PHARMACY
BIG BEND REGIONAL MEDICAL CNTR;PHARMACY
BIG SPRING STATE HOSPITAL;PHARMACY
BIG STATE DRUG;PHARMACY
BINGLE ROAD PHARMACY;PHARMACY
BIOCARE PHARMACY;PHARMACY
BIOCURE LLC;PHARMACY
BIOFUSION;PHARMACY
BIOMED PHARMACEUTICALS;PHARMACY
BIOPARTNERS IN CARE;PHARMACY
BIOPLUS SPECIALTY PHARMACY;PHARMACY
BIORX LLC;PHARMACY
BIORX;PHARMACY
BIOSCRIP INFUSION SERVICES;PHARMACY
BIOSCRIP PHARMACY SERVICES;PHARMACY
BIOSCRIP PHARMACY;PHARMACY
BIRDSONGS PHARMACY;PHARMACY
BISSONNET DISCOUNT PHARMACY;PHARMACY
BIZMART PHARMACY;PHARMACY
BIZZARRI PHARMACY;PHARMACY
BLACKMON PHARMACY;PHARMACY
BLOOM PHARMACY;PHARMACY
BLOUNT PHARMACY;PHARMACY
BLUE MINT PHARMACY;PHARMACY
BLUE RIBBON PHARMACY;PHARMACY
BLUITTS PHARMACY;PHARMACY
BLUITT-FLOWERS HEALTH CENTER;PHARMACY
BOARDWALK PHARMACY;PHARMACY
BOCA RATON PHARMACY;PHARMACY
BONHAM COMMUNITY HEALTH CENTER PHARMACY;PHARMACY
BONHAM FAMILY DRUG;PHARMACY
BOOMTOWN DRUG;PHARMACY
BOSWELL PHARMACY SERVICES;PHARMACY
BOTICA FAMILIAR PHARMACY;PHARMACY
BOUDREAUXS SPECIALTY;PHARMACY
BOWIE MEMORIAL HOSPITAL;PHARMACY
BOYD MEDICINE STORE;PHARMACY
BOYLES BANDERA PHARMACY;PHARMACY
BRATTONS;PHARMACY
BRAZORIA COUNTY HEALTH DEPT;PHARMACY
BRAZORIA COUNTY SURGERY CENTER;PHARMACY
BRAZOS COUNTY HEALTH DEPT;PHARMACY
BRAZOS COUNTY MEDICINE CHEST;PHARMACY
BRAZOSPORT EYE INSTITUTE;PHARMACY
BRAZOSPORT REGIONAL HEALTH;PHARMACY
BRECKENRIDGE SURGERY CENTER;PHARMACY
BRENHAM STATE SUPPORTED LIVING;PHARMACY
BRETSHIRE PHARMACY;PHARMACY
BRIARGROVE PHARMACY;PHARMACY
BRICK STREET PHARMACY;PHARMACY
BRIDGE CITY FAMILY PHARMACY;PHARMACY
BRIGHTMED CORPORATION;PHARMACY
BRIGHTSKY;PHARMACY
BRIOVARX;PHARMACY
BRITT DRUG CO;PHARMACY
BROADWAY DRUG STORE;PHARMACY
BROADWAY PHARMACY;PHARMACY
BROOKHAVEN APOTHECARY  SURGICAL SHOP;PHARMACY
BROOKS HEALTH CARE;PHARMACY
BROOKSHIRE BROS PHARMACY ;PHARMACY
BROWN PHARMACY;PHARMACY
BROWNS COMPOUNDING CENTER;PHARMACY
BROWNS PHARMACY;PHARMACY
BROWNFIELD REGIONAL MED CENTER;PHARMACY
BROWNSVILLE COM. HEALTH CENTER;PHARMACY
BROWNSVILLE DOCTORS HOSPITAL;PHARMACY
BROWNWOOD REGIONAL MEDICAL CTR;PHARMACY
BROWNWOOD-BROWN CTY HLTH DEPT;PHARMACY
BRUCE AND HUMAN DRUG;PHARMACY
BRUCES PHARMACY;PHARMACY
BRUSHMANS PHARMACY;PHARMACY
BRYAN MEDICINE CHEST;PHARMACY
BUCKNER NEIGHBORHOOD PHARMACY;PHARMACY
BUCKNER VILLAGE PHARMACY;PHARMACY
BUDA DRUG STORE;PHARMACY
BUDGET PHARMACY;PHARMACY
BUEHLER PHARMACY;PHARMACY
BUEHLERS PHARMACY;PHARMACY
BUENA VISTA DISCOUNT PHARMACY;PHARMACY
BUKMIRS PHARMACY;PHARMACY
BULLARD HOME INFUSION;PHARMACY
BUNNYS PHARMACY INC;PHARMACY
BURKE FAMILY PHARMACY;PHARMACY
BURLESON ST. JOSEPH HEALTH CTR;PHARMACY
BURNHAM MCKINNEY PHARMACY;PHARMACY
BUSSEY DRUG;PHARMACY
BUY FOR LESS PHARMACY;PHARMACY
BWM PHARMACY  MEDICAL SUPPLY;PHARMACY
BZ PHARMACY;PHARMACY
C  C PHARMACY;PHARMACY
C  E PHARMACEUTICAL;PHARMACY
C  P PHARMACY INC;PHARMACY
C AND I PHARMACY;PHARMACY
C-MED PHARMACY AND HEALTH CARE;PHARMACY
CALHOUN CTY HEALTH DEPARTMENT;PHARMACY
CALIFORNIA PET PHARMACY;PHARMACY
CALIFORNIA PHARMACY ;PHARMACY
CALLOWAY CREEK SURGERY CENTER;PHARMACY
CAMBRIDGE HOSPITAL PHARMACY;PHARMACY
CAMERON COUNTY DEPT OF HEALTH;PHARMACY
CAMPBELL DRUG STORE;PHARMACY
CAMPBELLS COMPOUNDING PHY;PHARMACY
CANAL PHARMACY;PHARMACY
CANAL RX PC;PHARMACY
CANCER SPECIALISTS OF SOUTH;PHARMACY
CANIN PHARMACY;PHARMACY
CANTRELL DRUG CO;PHARMACY
CANTU SOUTHMOST PHARMACY;PHARMACY
CANTU WESTSIDE PHARMACY;PHARMACY
CANTUS PHARMACY;PHARMACY
CANYON HEALTH CENTER;PHARMACY
CAPLAN SURGERY CENTER;PHARMACY
CAPPONI PHARMACY;PHARMACY
CAPROCK DISCOUNT DRUG;PHARMACY
CARDINAL HEALTH PHARMACY SERVICES LLC;PHARMACY
CARDINAL HEALTH PHARMACY;PHARMACY
CARDINAL HEALTH;PHARMACY
CARDINAL PHARMACY;PHARMACY
CARE PLUS PHARMACY;PHARMACY
CARE REGIONAL MEDICAL CENTER;PHARMACY
CARE RX EXPRESS;PHARMACY
CARE RX PHARMACY;PHARMACY
CAREMARK ARIZONA MAIL PHARMACY;PHARMACY
CAREMARK FLORIDA SPECIALITY;PHARMACY
CAREMARK INC;PHARMACY
CAREMARK;PHARMACY
CAREMED PHARMACEUTICAL SERVICES;PHARMACY
CAREOS;PHARMACY
CAREPHARM PHARMACY LTC;PHARMACY
CAREPLUS CVS PHARMACY ;PHARMACY
CAREPOINT PARTNERS;PHARMACY
CAREPOINT PHARMACY;PHARMACY
CARERX PHARMACY AT SHERMAN;PHARMACY
CARIE BOYDS PRESCRIPTION SHOP;PHARMACY
CARMICHAELS PHARMACY IHP;PHARMACY
CAROLS PHARMACY;PHARMACY
CARRUS REHABILITATION HOSPITAL;PHARMACY
CARRUS SPECIALTY HOSPITAL;PHARMACY
CARTERS LTC PHARMACY;PHARMACY
CARTERS PHARMACY;PHARMACY
CARVAJAL PHARMACY CROCKETT PARK;PHARMACY
CARVAJAL PHARMACY CS;PHARMACY
CARVAJAL PHARMACY SOUTH SAN;PHARMACY
CARVAJAL PHARMACY WESLEY;PHARMACY
CARVAJAL PHARMACY;PHARMACY
CASA DE AMIGOS CLINIC PHARMACY;PHARMACY
CASA EL BUEN SAMARITANO;PHARMACY
CASH SAVER COST PLUS PHARMACY;PHARMACY
CASTLE HILLS SURGERY CENTER;PHARMACY
CASTLE OF PHARMACY;PHARMACY
CATAMARAN HOME DELIVERY;PHARMACY
CATARACT SURGICAL CENTER OF;PHARMACY
CCH PHARMACY;PHARMACY
CCS MEDICAL;PHARMACY
CDF RX;PHARMACY
CEDAR CREST HOSPITAL;PHARMACY
CEDAR PARK SURGERY CENTER;PHARMACY
CEDAR VIEW PHARMACY;PHARMACY
CEGO INFUSION PHARMACY;PHARMACY
CELINA DRUG;PHARMACY
CENTENNIAL MEDICAL CENTER;PHARMACY
CENTENNIAL SURGERY CENTER;PHARMACY
CENTER FOR ASSISTED;PHARMACY
CENTER PET PHARMACY;PHARMACY
CENTER PHARMACY INC;PHARMACY
CENTER PHARMACY;PHARMACY
CENTRAL ADMIXTURE PHARMACY;PHARMACY
CENTRAL ALLEN PHARMACY;PHARMACY
CENTRAL CARE COMMUNITY HEALTH;PHARMACY
CENTRAL DRUG;PHARMACY
CENTRAL DRUGS;PHARMACY
CENTRAL ORDER ENTRY PHARMACY;PHARMACY
CENTRAL PARK SURGERY CENTER;PHARMACY
CENTRAL PHARMACY LEGO;PHARMACY
CENTRAL PHARMACY;PHARMACY
CENTRAL TEXAS AMBULATORY;PHARMACY
CENTRAL TEXAS DAY SURGERY CENTER;PHARMACY
CENTRAL TEXAS ENDOSCOPY CENTER;PHARMACY
CENTRAL TEXAS HOSPITAL;PHARMACY
CENTRAL TEXAS MEDICAL CENTER;PHARMACY
CENTRAL TEXAS REHABILITATION;PHARMACY
CENTRE PHARMACY;PHARMACY
CENTRO DE SALUD FAMILIAR LA FE INC LISBO;PHARMACY
CENTRO DE SALUD FAMILIAR LA FE INC;PHARMACY
CENTRO DE SALUD FAMILIAR LA FE;PHARMACY
CENTRO SAN VICENTE PHARMACY;PHARMACY
CENTRO SAN VICENTE SAN ELIZARI;PHARMACY
CENTRO SAN VICENTE;PHARMACY
CENTROMED HEALTH CARE FOR THE;PHARMACY
CENTROMED PHARMACY - WALZEM;PHARMACY
CENTROMED PHARMACY;PHARMACY
CENTROMED PHARMACY-COUNTY LINE;PHARMACY
CENTROMED PHARMACY-SOUTHSIDE;PHARMACY
CENTROMED SARAH E DAVIDSON CLINIC;PHARMACY
CENTURY MEDICAL;PHARMACY
CHALLENGE CARE PHARMACY;PHARMACY
CHAMBERS CTY HEALTH DEPT;PHARMACY
CHAMPS MEDICAL;PHARMACY
CHANNELVIEW PHARMACY;PHARMACY
CHAPMAN PHARMACY INC;PHARMACY
CHARLIES PHARMACY INC;PHARMACY
CHC-JUAREZ CLINIC PHARMACY;PHARMACY
CHEBYCARE PHARMACY LLC;PHARMACY
CHEROKEE COUNTY HEALTH DEPT;PHARMACY
CHEROKEE PHARMACY;PHARMACY
CHG CORNERSTONE HOSPITAL OF AUSTIN;PHARMACY
CHILDRENS AMBULATORY SURGERY;PHARMACY
CHILDRENS HEALTH EXPRESS;PHARMACY
