ENGLISH;FRENCH;GERMAN;ITALIAN;PORTUGUESE;SPANISH;CATEGORY
ADOUMYLASE;ADOUMYLASE;ADOUMYLASE;ADOUMYLASE;ADOUMYLASE;ADOUMYLASE;DRUG
ADRENALINE;ADRENALINE;ADRENALINE;ADRENALINE;ADRENALINE;ADRENALINE;DRUG
ADRENALINUM;ADRENALINUM;ADRENALINUM;ADRENALINUM;ADRENALINUM;ADRENALINUM;DRUG
ADRENOXYL;ADRENOXYL;ADRENOXYL;ADRENOXYL;ADRENOXYL;ADRENOXYL;DRUG
ADREVIEW;ADREVIEW;ADREVIEW;ADREVIEW;ADREVIEW;ADREVIEW;DRUG
ADRI;ADRI;ADRI;ADRI;ADRI;ADRI;DRUG
ADRIBLASTINE;ADRIBLASTINE;ADRIBLASTINE;ADRIBLASTINE;ADRIBLASTINE;ADRIBLASTINE;DRUG
ADRIGYL;ADRIGYL;ADRIGYL;ADRIGYL;ADRIGYL;ADRIGYL;DRUG
ADROVANCE;ADROVANCE;ADROVANCE;ADROVANCE;ADROVANCE;ADROVANCE;DRUG
ADVAGRAF;ADVAGRAF;ADVAGRAF;ADVAGRAF;ADVAGRAF;ADVAGRAF;DRUG
ADVATE;ADVATE;ADVATE;ADVATE;ADVATE;ADVATE;DRUG
ADVIL;ADVIL;ADVIL;ADVIL;ADVIL;ADVIL;DRUG
ADVILCAPS;ADVILCAPS;ADVILCAPS;ADVILCAPS;ADVILCAPS;ADVILCAPS;DRUG
ADVILEFF;ADVILEFF;ADVILEFF;ADVILEFF;ADVILEFF;ADVILEFF;DRUG
ADVILGEL;ADVILGEL;ADVILGEL;ADVILGEL;ADVILGEL;ADVILGEL;DRUG
ADVILMED;ADVILMED;ADVILMED;ADVILMED;ADVILMED;ADVILMED;DRUG
ADVILTAB;ADVILTAB;ADVILTAB;ADVILTAB;ADVILTAB;ADVILTAB;DRUG
AERIUS;AERIUS;AERIUS;AERIUS;AERIUS;AERIUS;DRUG
AERODIOL;AERODIOL;AERODIOL;AERODIOL;AERODIOL;AERODIOL;DRUG
AEROLINE;AEROLINE;AEROLINE;AEROLINE;AEROLINE;AEROLINE;DRUG
AESCULUS;AESCULUS;AESCULUS;AESCULUS;AESCULUS;AESCULUS;DRUG
AETHIOPS;AETHIOPS;AETHIOPS;AETHIOPS;AETHIOPS;AETHIOPS;DRUG
AETHUSA;AETHUSA;AETHUSA;AETHUSA;AETHUSA;AETHUSA;DRUG
AETOXISCLEROL;AETOXISCLEROL;AETOXISCLEROL;AETOXISCLEROL;AETOXISCLEROL;AETOXISCLEROL;DRUG
AFERADOL;AFERADOL;AFERADOL;AFERADOL;AFERADOL;AFERADOL;DRUG
AFFERA;AFFERA;AFFERA;AFFERA;AFFERA;AFFERA;DRUG
AFFINEX;AFFINEX;AFFINEX;AFFINEX;AFFINEX;AFFINEX;DRUG
AFINITOR;AFINITOR;AFINITOR;AFINITOR;AFINITOR;AFINITOR;DRUG
AFTAB;AFTAB;AFTAB;AFTAB;AFTAB;AFTAB;DRUG
AGARICUS;AGARICUS;AGARICUS;AGARICUS;AGARICUS;AGARICUS;DRUG
AGENERASE;AGENERASE;AGENERASE;AGENERASE;AGENERASE;AGENERASE;DRUG
AGNUS;AGNUS;AGNUS;AGNUS;AGNUS;AGNUS;DRUG
AGRAM;AGRAM;AGRAM;AGRAM;AGRAM;AGRAM;DRUG
AGRAPHIS;AGRAPHIS;AGRAPHIS;AGRAPHIS;AGRAPHIS;AGRAPHIS;DRUG
AGRASTAT;AGRASTAT;AGRASTAT;AGRASTAT;AGRASTAT;AGRASTAT;DRUG
AGRIMONIA;AGRIMONIA;AGRIMONIA;AGRIMONIA;AGRIMONIA;AGRIMONIA;DRUG
AIGLONYL;AIGLONYL;AIGLONYL;AIGLONYL;AIGLONYL;AIGLONYL;DRUG
AILANTHUS;AILANTHUS;AILANTHUS;AILANTHUS;AILANTHUS;AILANTHUS;DRUG
AINSCRID;AINSCRID;AINSCRID;AINSCRID;AINSCRID;AINSCRID;DRUG
AIROMIR;AIROMIR;AIROMIR;AIROMIR;AIROMIR;AIROMIR;DRUG
AKINDOL;AKINDOL;AKINDOL;AKINDOL;AKINDOL;AKINDOL;DRUG
AKINETON;AKINETON;AKINETON;AKINETON;AKINETON;AKINETON;DRUG
ALAIRGIX;ALAIRGIX;ALAIRGIX;ALAIRGIX;ALAIRGIX;ALAIRGIX;DRUG
ALBATRAN;ALBATRAN;ALBATRAN;ALBATRAN;ALBATRAN;ALBATRAN;DRUG
ALBENDAZOLE;ALBENDAZOLE;ALBENDAZOLE;ALBENDAZOLE;ALBENDAZOLE;ALBENDAZOLE;DRUG
ALBEY;ALBEY;ALBEY;ALBEY;ALBEY;ALBEY;DRUG
ALBUMAN;ALBUMAN;ALBUMAN;ALBUMAN;ALBUMAN;ALBUMAN;DRUG
ALBUMINE;ALBUMINE;ALBUMINE;ALBUMINE;ALBUMINE;ALBUMINE;DRUG
ALBUNORM;ALBUNORM;ALBUNORM;ALBUNORM;ALBUNORM;ALBUNORM;DRUG
ALCHEMILLA;ALCHEMILLA;ALCHEMILLA;ALCHEMILLA;ALCHEMILLA;ALCHEMILLA;DRUG
ALCOOL;ALCOOL;ALCOOL;ALCOOL;ALCOOL;ALCOOL;DRUG
ALCOR;ALCOR;ALCOR;ALCOR;ALCOR;ALCOR;DRUG
ALDACTONE;ALDACTONE;ALDACTONE;ALDACTONE;ALDACTONE;ALDACTONE;DRUG
ALDALIX;ALDALIX;ALDALIX;ALDALIX;ALDALIX;ALDALIX;DRUG
ALDARA;ALDARA;ALDARA;ALDARA;ALDARA;ALDARA;DRUG
ALDIREK;ALDIREK;ALDIREK;ALDIREK;ALDIREK;ALDIREK;DRUG
ALDOMET;ALDOMET;ALDOMET;ALDOMET;ALDOMET;ALDOMET;DRUG
ALDOSTERONE;ALDOSTERONE;ALDOSTERONE;ALDOSTERONE;ALDOSTERONE;ALDOSTERONE;DRUG
ALDURAZYME;ALDURAZYME;ALDURAZYME;ALDURAZYME;ALDURAZYME;ALDURAZYME;DRUG
ALENDRONATE;ALENDRONATE;ALENDRONATE;ALENDRONATE;ALENDRONATE;ALENDRONATE;DRUG
ALEPSAL;ALEPSAL;ALEPSAL;ALEPSAL;ALEPSAL;ALEPSAL;DRUG
ALERDUAL;ALERDUAL;ALERDUAL;ALERDUAL;ALERDUAL;ALERDUAL;DRUG
ALERGOLIBER;ALERGOLIBER;ALERGOLIBER;ALERGOLIBER;ALERGOLIBER;ALERGOLIBER;DRUG
ALETRIS;ALETRIS;ALETRIS;ALETRIS;ALETRIS;ALETRIS;DRUG
ALEVE;ALEVE;ALEVE;ALEVE;ALEVE;ALEVE;DRUG
ALEVETABS;ALEVETABS;ALEVETABS;ALEVETABS;ALEVETABS;ALEVETABS;DRUG
ALFA;ALFA;ALFA;ALFA;ALFA;ALFA;DRUG
ALFA-AMYLASE;ALFA-AMYLASE;ALFA-AMYLASE;ALFA-AMYLASE;ALFA-AMYLASE;ALFA-AMYLASE;DRUG
ALFACALCIDOL;ALFACALCIDOL;ALFACALCIDOL;ALFACALCIDOL;ALFACALCIDOL;ALFACALCIDOL;DRUG
ALFALASTIN;ALFALASTIN;ALFALASTIN;ALFALASTIN;ALFALASTIN;ALFALASTIN;DRUG
ALFALFA;ALFALFA;ALFALFA;ALFALFA;ALFALFA;ALFALFA;DRUG
ALFATIL;ALFATIL;ALFATIL;ALFATIL;ALFATIL;ALFATIL;DRUG
ALFENCE;ALFENCE;ALFENCE;ALFENCE;ALFENCE;ALFENCE;DRUG
ALFUZOSINE;ALFUZOSINE;ALFUZOSINE;ALFUZOSINE;ALFUZOSINE;ALFUZOSINE;DRUG
ALGESAL;ALGESAL;ALGESAL;ALGESAL;ALGESAL;ALGESAL;DRUG
ALGICALM;ALGICALM;ALGICALM;ALGICALM;ALGICALM;ALGICALM;DRUG
ALGIFENE;ALGIFENE;ALGIFENE;ALGIFENE;ALGIFENE;ALGIFENE;DRUG
ALGINATE;ALGINATE;ALGINATE;ALGINATE;ALGINATE;ALGINATE;DRUG
ALGOCRATINE;ALGOCRATINE;ALGOCRATINE;ALGOCRATINE;ALGOCRATINE;ALGOCRATINE;DRUG
ALGODOL;ALGODOL;ALGODOL;ALGODOL;ALGODOL;ALGODOL;DRUG
ALGOSTASE;ALGOSTASE;ALGOSTASE;ALGOSTASE;ALGOSTASE;ALGOSTASE;DRUG
ALGUES;ALGUES;ALGUES;ALGUES;ALGUES;ALGUES;DRUG
ALIMTA;ALIMTA;ALIMTA;ALIMTA;ALIMTA;ALIMTA;DRUG
ALIPASE;ALIPASE;ALIPASE;ALIPASE;ALIPASE;ALIPASE;DRUG
ALKA;ALKA;ALKA;ALKA;ALKA;ALKA;DRUG
ALKENIDE;ALKENIDE;ALKENIDE;ALKENIDE;ALKENIDE;ALKENIDE;DRUG
ALKERAN;ALKERAN;ALKERAN;ALKERAN;ALKERAN;ALKERAN;DRUG
ALKONATREM;ALKONATREM;ALKONATREM;ALKONATREM;ALKONATREM;ALKONATREM;DRUG
ALLERGA;ALLERGA;ALLERGA;ALLERGA;ALLERGA;ALLERGA;DRUG
ALLERGEFON;ALLERGEFON;ALLERGEFON;ALLERGEFON;ALLERGEFON;ALLERGEFON;DRUG
ALLERGIFLASH;ALLERGIFLASH;ALLERGIFLASH;ALLERGIFLASH;ALLERGIFLASH;ALLERGIFLASH;DRUG
ALLERGODIL;ALLERGODIL;ALLERGODIL;ALLERGODIL;ALLERGODIL;ALLERGODIL;DRUG
ALLEVAPIL;ALLEVAPIL;ALLEVAPIL;ALLEVAPIL;ALLEVAPIL;ALLEVAPIL;DRUG
ALLI;ALLI;ALLI;ALLI;ALLI;ALLI;DRUG
ALLIUM;ALLIUM;ALLIUM;ALLIUM;ALLIUM;ALLIUM;DRUG
ALLOCHRYSINE;ALLOCHRYSINE;ALLOCHRYSINE;ALLOCHRYSINE;ALLOCHRYSINE;ALLOCHRYSINE;DRUG
ALLOFERINE;ALLOFERINE;ALLOFERINE;ALLOFERINE;ALLOFERINE;ALLOFERINE;DRUG
ALLOPTREX;ALLOPTREX;ALLOPTREX;ALLOPTREX;ALLOPTREX;ALLOPTREX;DRUG
ALLOPURINOL;ALLOPURINOL;ALLOPURINOL;ALLOPURINOL;ALLOPURINOL;ALLOPURINOL;DRUG
ALLURENE;ALLURENE;ALLURENE;ALLURENE;ALLURENE;ALLURENE;DRUG
ALMA;ALMA;ALMA;ALMA;ALMA;ALMA;DRUG
ALMAPNEUMOL;ALMAPNEUMOL;ALMAPNEUMOL;ALMAPNEUMOL;ALMAPNEUMOL;ALMAPNEUMOL;DRUG
ALMATUSSIL;ALMATUSSIL;ALMATUSSIL;ALMATUSSIL;ALMATUSSIL;ALMATUSSIL;DRUG
ALMIDE;ALMIDE;ALMIDE;ALMIDE;ALMIDE;ALMIDE;DRUG
ALMOGRAN;ALMOGRAN;ALMOGRAN;ALMOGRAN;ALMOGRAN;ALMOGRAN;DRUG
ALMOTREX;ALMOTREX;ALMOTREX;ALMOTREX;ALMOTREX;ALMOTREX;DRUG
ALOE;ALOE;ALOE;ALOE;ALOE;ALOE;DRUG
ALOPEXY;ALOPEXY;ALOPEXY;ALOPEXY;ALOPEXY;ALOPEXY;DRUG
ALOPLASTINE;ALOPLASTINE;ALOPLASTINE;ALOPLASTINE;ALOPLASTINE;ALOPLASTINE;DRUG
ALORA;ALORA;ALORA;ALORA;ALORA;ALORA;DRUG
ALOSTELLE;ALOSTELLE;ALOSTELLE;ALOSTELLE;ALOSTELLE;ALOSTELLE;DRUG
ALOSTIL;ALOSTIL;ALOSTIL;ALOSTIL;ALOSTIL;ALOSTIL;DRUG
ALOXI;ALOXI;ALOXI;ALOXI;ALOXI;ALOXI;DRUG
ALPHA;ALPHA;ALPHA;ALPHA;ALPHA;ALPHA;DRUG
ALPHACAINE;ALPHACAINE;ALPHACAINE;ALPHACAINE;ALPHACAINE;ALPHACAINE;DRUG
ALPHACHYMOTRYPSINE;ALPHACHYMOTRYPSINE;ALPHACHYMOTRYPSINE;ALPHACHYMOTRYPSINE;ALPHACHYMOTRYPSINE;ALPHACHYMOTRYPSINE;DRUG
ALPHACUTANEE;ALPHACUTANEE;ALPHACUTANEE;ALPHACUTANEE;ALPHACUTANEE;ALPHACUTANEE;DRUG
ALPHAGAN;ALPHAGAN;ALPHAGAN;ALPHAGAN;ALPHAGAN;ALPHAGAN;DRUG
ALPHEXINE;ALPHEXINE;ALPHEXINE;ALPHEXINE;ALPHEXINE;ALPHEXINE;DRUG
ALPRAZOLAM;ALPRAZOLAM;ALPRAZOLAM;ALPRAZOLAM;ALPRAZOLAM;ALPRAZOLAM;DRUG
ALPRESS;ALPRESS;ALPRESS;ALPRESS;ALPRESS;ALPRESS;DRUG
ALPROSTADIL;ALPROSTADIL;ALPROSTADIL;ALPROSTADIL;ALPROSTADIL;ALPROSTADIL;DRUG
ALPURIC;ALPURIC;ALPURIC;ALPURIC;ALPURIC;ALPURIC;DRUG
ALQUOSAL;ALQUOSAL;ALQUOSAL;ALQUOSAL;ALQUOSAL;ALQUOSAL;DRUG
ALTARGO;ALTARGO;ALTARGO;ALTARGO;ALTARGO;ALTARGO;DRUG
ALTEIS;ALTEIS;ALTEIS;ALTEIS;ALTEIS;ALTEIS;DRUG
ALTEISDUO;ALTEISDUO;ALTEISDUO;ALTEISDUO;ALTEISDUO;ALTEISDUO;DRUG
ALTERFLEX;ALTERFLEX;ALTERFLEX;ALTERFLEX;ALTERFLEX;ALTERFLEX;DRUG
ALTERGENE;ALTERGENE;ALTERGENE;ALTERGENE;ALTERGENE;ALTERGENE;DRUG
ALTIM;ALTIM;ALTIM;ALTIM;ALTIM;ALTIM;DRUG
ALTIZIDE;ALTIZIDE;ALTIZIDE;ALTIZIDE;ALTIZIDE;ALTIZIDE;DRUG
ALUCTYL;ALUCTYL;ALUCTYL;ALUCTYL;ALUCTYL;ALUCTYL;DRUG
ALUMINA;ALUMINA;ALUMINA;ALUMINA;ALUMINA;ALUMINA;DRUG
ALUMINIUM;ALUMINIUM;ALUMINIUM;ALUMINIUM;ALUMINIUM;ALUMINIUM;DRUG
ALUPENT;ALUPENT;ALUPENT;ALUPENT;ALUPENT;ALUPENT;DRUG
ALUTARD;ALUTARD;ALUTARD;ALUTARD;ALUTARD;ALUTARD;DRUG
ALVESCO;ALVESCO;ALVESCO;ALVESCO;ALVESCO;ALVESCO;DRUG
ALYOSTAL;ALYOSTAL;ALYOSTAL;ALYOSTAL;ALYOSTAL;ALYOSTAL;DRUG
AMAREL;AMAREL;AMAREL;AMAREL;AMAREL;AMAREL;DRUG
AMBISOME;AMBISOME;AMBISOME;AMBISOME;AMBISOME;AMBISOME;DRUG
AMBROXOL;AMBROXOL;AMBROXOL;AMBROXOL;AMBROXOL;AMBROXOL;DRUG
AMERSCAN;AMERSCAN;AMERSCAN;AMERSCAN;AMERSCAN;AMERSCAN;DRUG
AMETYCINE;AMETYCINE;AMETYCINE;AMETYCINE;AMETYCINE;AMETYCINE;DRUG
AMIDAL;AMIDAL;AMIDAL;AMIDAL;AMIDAL;AMIDAL;DRUG
AMIKACINE;AMIKACINE;AMIKACINE;AMIKACINE;AMIKACINE;AMIKACINE;DRUG
AMIKLIN;AMIKLIN;AMIKLIN;AMIKLIN;AMIKLIN;AMIKLIN;DRUG
AMILORIDE;AMILORIDE;AMILORIDE;AMILORIDE;AMILORIDE;AMILORIDE;DRUG
AMINOMIX;AMINOMIX;AMINOMIX;AMINOMIX;AMINOMIX;AMINOMIX;DRUG
AMINOPHYLLINE;AMINOPHYLLINE;AMINOPHYLLINE;AMINOPHYLLINE;AMINOPHYLLINE;AMINOPHYLLINE;DRUG
AMINOPLASMAL;AMINOPLASMAL;AMINOPLASMAL;AMINOPLASMAL;AMINOPLASMAL;AMINOPLASMAL;DRUG
AMINOSTERIL;AMINOSTERIL;AMINOSTERIL;AMINOSTERIL;AMINOSTERIL;AMINOSTERIL;DRUG
AMINOVEN;AMINOVEN;AMINOVEN;AMINOVEN;AMINOVEN;AMINOVEN;DRUG
AMIODARONE;AMIODARONE;AMIODARONE;AMIODARONE;AMIODARONE;AMIODARONE;DRUG
AMIODIREX;AMIODIREX;AMIODIREX;AMIODIREX;AMIODIREX;AMIODIREX;DRUG
AMISULPRIDE;AMISULPRIDE;AMISULPRIDE;AMISULPRIDE;AMISULPRIDE;AMISULPRIDE;DRUG
AMLODILATE;AMLODILATE;AMLODILATE;AMLODILATE;AMLODILATE;AMLODILATE;DRUG
AMLODIPINE;AMLODIPINE;AMLODIPINE;AMLODIPINE;AMLODIPINE;AMLODIPINE;DRUG
AMLODIPINE/ATORVASTATINE;AMLODIPINE/ATORVASTATINE;AMLODIPINE/ATORVASTATINE;AMLODIPINE/ATORVASTATINE;AMLODIPINE/ATORVASTATINE;AMLODIPINE/ATORVASTATINE;DRUG
AMLOKAPS;AMLOKAPS;AMLOKAPS;AMLOKAPS;AMLOKAPS;AMLOKAPS;DRUG
AMLOR;AMLOR;AMLOR;AMLOR;AMLOR;AMLOR;DRUG
AMLOTENSAN;AMLOTENSAN;AMLOTENSAN;AMLOTENSAN;AMLOTENSAN;AMLOTENSAN;DRUG
AMMI;AMMI;AMMI;AMMI;AMMI;AMMI;DRUG
AMMONAPS;AMMONAPS;AMMONAPS;AMMONAPS;AMMONAPS;AMMONAPS;DRUG
AMMONIUM;AMMONIUM;AMMONIUM;AMMONIUM;AMMONIUM;AMMONIUM;DRUG
AMODEX;AMODEX;AMODEX;AMODEX;AMODEX;AMODEX;DRUG
AMOROLFINE;AMOROLFINE;AMOROLFINE;AMOROLFINE;AMOROLFINE;AMOROLFINE;DRUG
AMOXICILLINE;AMOXICILLINE;AMOXICILLINE;AMOXICILLINE;AMOXICILLINE;AMOXICILLINE;DRUG
AMOXICILLINE-ACIDE;AMOXICILLINE-ACIDE;AMOXICILLINE-ACIDE;AMOXICILLINE-ACIDE;AMOXICILLINE-ACIDE;AMOXICILLINE-ACIDE;DRUG
AMOXINE;AMOXINE;AMOXINE;AMOXINE;AMOXINE;AMOXINE;DRUG
AMOXIREX;AMOXIREX;AMOXIREX;AMOXIREX;AMOXIREX;AMOXIREX;DRUG
AMPECYCLAL;AMPECYCLAL;AMPECYCLAL;AMPECYCLAL;AMPECYCLAL;AMPECYCLAL;DRUG
AMPELOPSIS;AMPELOPSIS;AMPELOPSIS;AMPELOPSIS;AMPELOPSIS;AMPELOPSIS;DRUG
AMPICILLINE;AMPICILLINE;AMPICILLINE;AMPICILLINE;AMPICILLINE;AMPICILLINE;DRUG
AMPLAMIL;AMPLAMIL;AMPLAMIL;AMPLAMIL;AMPLAMIL;AMPLAMIL;DRUG
AMSALYO;AMSALYO;AMSALYO;AMSALYO;AMSALYO;AMSALYO;DRUG
AMUKINE;AMUKINE;AMUKINE;AMUKINE;AMUKINE;AMUKINE;DRUG
AMYCOR;AMYCOR;AMYCOR;AMYCOR;AMYCOR;AMYCOR;DRUG
AMYGDORECTOL;AMYGDORECTOL;AMYGDORECTOL;AMYGDORECTOL;AMYGDORECTOL;AMYGDORECTOL;DRUG
AMYLIUM;AMYLIUM;AMYLIUM;AMYLIUM;AMYLIUM;AMYLIUM;DRUG
AMYVID;AMYVID;AMYVID;AMYVID;AMYVID;AMYVID;DRUG
ANACARDIUM;ANACARDIUM;ANACARDIUM;ANACARDIUM;ANACARDIUM;ANACARDIUM;DRUG
ANAFRANIL;ANAFRANIL;ANAFRANIL;ANAFRANIL;ANAFRANIL;ANAFRANIL;DRUG
